Ticker,Nama,Harga,PER,PBV,ROE%,LabaYoY%,OmzetYoY%,Dividen%,MarketCap(T),Vol20(jt),Nilai(M),VolSpike,RSI14,MA50,MA200
BBCA,Bank Central Asia (CONTOH),9500,22.5,4.8,21.0,8.4,5.1,2.1,1170.0,55.2,524.0,1.1,55.2,9300,9100
BBRI,Bank Rakyat Indonesia (CONTOH),4200,10.8,2.1,19.5,12.1,7.8,6.5,635.0,130.5,548.0,1.4,42.1,4350,4500
BMRI,Bank Mandiri (CONTOH),5800,10.2,2.0,20.1,-3.2,1.2,5.8,540.0,95.0,551.0,0.9,48.7,5700,5900
BBNI,Bank Negara Indonesia (CONTOH),4600,7.9,1.1,14.2,25.6,14.3,5.2,170.0,45.3,208.0,1.2,51.3,4500,4700
TLKM,Telkom Indonesia (CONTOH),2900,12.1,1.9,15.8,41.0,22.7,6.1,287.0,110.6,320.7,2.1,38.4,3000,3200
ASII,Astra International (CONTOH),4900,6.2,0.9,14.5,6.8,4.4,8.2,198.0,38.9,190.6,0.8,45.0,4950,5100
UNVR,Unilever Indonesia (CONTOH),1700,19.4,18.5,95.0,-11.5,-5.6,4.5,65.0,25.4,43.2,1.8,33.2,1800,2000
ICBP,Indofood CBP (CONTOH),11200,12.8,2.4,19.0,18.2,10.9,2.0,131.0,8.6,96.3,0.7,58.9,10900,10500
INDF,Indofood Sukses Makmur (CONTOH),7600,6.4,1.0,15.5,3.9,2.1,3.6,67.0,12.4,94.2,1.0,62.1,7300,6900
ANTM,Aneka Tambang (CONTOH),1600,11.5,1.3,11.8,52.3,28.4,4.1,38.0,85.7,137.1,2.4,68.5,1500,1350
PTBA,Bukit Asam (CONTOH),2700,6.1,1.4,22.0,15.7,9.3,10.5,31.0,30.2,81.5,1.3,44.6,2750,2800
ADRO,Alamtri Resources (CONTOH),2200,4.8,0.8,17.0,-6.4,-2.7,9.8,68.0,60.8,133.8,1.6,40.2,2250,2400
GOTO,GoTo Gojek Tokopedia (CONTOH),70,,1.6,-8.0,9.1,6.0,,84.0,2500.0,175.0,0.9,49.0,71,75
KLBF,Kalbe Farma (CONTOH),1500,20.1,3.1,16.2,22.8,12.5,2.5,70.0,40.1,60.2,0.6,52.8,1480,1450
UNTR,United Tractors (CONTOH),26500,4.9,1.1,23.5,30.5,17.2,8.9,99.0,6.8,180.2,1.1,57.3,25800,24900
