Tanggal,Waktu,Ticker,Nama,Status,Skor,HargaScreening
2026-08-11,2026-08-11T11:55:57Z,ACES,Aspirasi Hidup Indonesia Tbk,BUY,80,360
2026-08-11,2026-08-11T02:29:44Z,BDMN,Bank Danamon Indonesia Tbk.,BUY,67,4340
2026-08-11,2026-08-11T11:55:57Z,HMSP,H.M. Sampoerna Tbk.,BUY,71,740
2026-08-11,2026-08-11T02:29:44Z,ISAT,Indosat Tbk,BUY,75,2100
2026-08-11,2026-08-11T11:55:57Z,ITMG,Indo Tambangraya Megah Tbk,BUY,73,24675
2026-08-11,2026-08-11T02:29:44Z,MMIX,Multi Medika Internasional T,BUY,53,735
2026-08-11,2026-08-11T02:29:44Z,MSJA,Multi Spunindo Jaya Tbk.,BUY,58,422
2026-08-11,2026-08-11T11:55:57Z,PGEO,Pertamina Geothermal Energy ,BUY,76,1055
2026-08-11,2026-08-11T11:55:57Z,SMIL,Sarana Mitra Luas Tbk.,BUY,53,370
2026-08-11,2026-08-11T11:55:57Z,TAPG,Triputra Agro Persada Tbk.,BUY,82,1780
2026-08-12,2026-08-12T11:57:28Z,GGRM,Gudang Garam Tbk,BUY,73,19575
2026-08-13,2026-08-13T11:58:25Z,BDMN,Bank Danamon Indonesia Tbk.,BOW,68,4160
2026-08-13,2026-08-13T11:58:25Z,ESSA,ESSA Industries Indonesia Tb,BUY,75,660
2026-08-13,2026-08-13T11:58:25Z,MARK,Mark Dynamics Indonesia Tbk.,BUY,79,1110
2026-08-13,2026-08-13T11:58:25Z,TAPG,Triputra Agro Persada Tbk.,BUY,82,1780
2026-08-14,2026-08-14T11:55:53Z,AADI,Adaro Andalan Indonesia Tbk.,BUY,73,9425
2026-08-14,2026-08-14T11:55:53Z,ADMR,Alamtri Minerals Indonesia T,BUY,59,1680
2026-08-14,2026-08-14T11:55:53Z,BDMN,Bank Danamon Indonesia Tbk.,BOW,68,4150
2026-08-14,2026-08-14T11:55:53Z,ITMG,Indo Tambangraya Megah Tbk,BUY,73,25000
