Ticker,Nama,Grup,Sektor,Syariah,Status,Skor,Flag,Harga,PER,PBV,PERvsSektor,PBVvsSektor,ROE%,LabaYoY%,OmzetYoY%,Dividen%,DER,MarketCap(T),Vol20(jt),Nilai(M),VolSpike,RSI14,MA50,MA200,MarginKotor%,MarginOperasi%,MarginBersih%,ROA%,UtangBersih/EBITDA,CurrentRatio,QuickRatio,InterestCoverage,EV/EBITDA,OCF/Laba,FCFYield%,Payout%,Capex/OCF,SkorValuasi,SkorProfitabilitas,SkorKesehatan,SkorPertumbuhan,SkorArusKas,OmzetCAGR3%,LabaCAGR3%,TahunLabaNaik,SahamYoY%,EPS,BVPS,DPS,Saham,Omzet,LabaBersih,EBITDA,EBIT,TotalUtang,Kas,UtangBersih,TotalAset,Ekuitas,OCF,Capex,FCF,Periode,Basis,MataUang
MDKA,Merdeka Copper Gold Tbk.,LQ45,Basic Materials,Ya,HOLD,31,"rugi,FCF-",3060,-4837.9,4.94,,2.81,-0.1,1637.8,23.5,0.4,2.69,74.7,40.11,119.6,1.19,58.1,2866,2883.0,18.7,14.79,-0.04,-0.02,5.25,1.33,0.92,2.17,18.46,-420.36,-3.17,0.0,1.36,15,12,28,73,37,29.6,,0.0,0.02,-0.6325,619.6295,12.29,24416902071.0,35748699782400.0,-15442764000.0,5655823421760.0,5582488456800.0,40754789925600.0,9675232700160.0,29689987368480.0,107036218629120.0,15129433359840.0,6491559098400.0,-8858369279040.0,-2366810180640.0,2026-03-31,TTM,USD
MGLV,NexAI Digital Infrastruktur ,,Consumer Cyclical,Ya,HOLD,35,"rugi,OCF-,FCF-,bunga<1.5",15600,-3294.7,233.62,,132.74,-6.85,,,0.0,0.0,29.7,1.45,20.1,0.35,72.3,11057,6528.0,36.79,-5.65,-7.05,-3.96,,3.6,0.8,-2.26,,3.64,-0.11,0.0,,10,34,60,,50,-8.4,,1.0,0.0,-4.7349,66.7743,,1904883411.0,127866478461.0,-9019490202.0,-1748982655.0,-5806928268.0,16361068.0,3156869509.0,-3140508441.0,187913019699.0,127197337830.0,-32858488716.0,-93775600.0,-32952264316.0,,Tahunan,IDR
MINA,Sanurhasta Mitra Tbk.,,Consumer Cyclical,Tidak,WSE,33,"rugi,bunga<1.5,dilusi",232,-2921.9,9.12,,5.18,-0.46,158.7,-9.5,0.0,0.0,2.3,43.33,11.5,0.51,28.8,270,331.0,66.16,-47.73,-8.43,-0.44,1.98,135.3,117.31,1.29,1349.34,-1.29,0.04,0.0,0.19,9,3,72,61,38,-1.0,,2.0,21.19,-0.0794,25.4503,,9843750000.0,9273467099.0,-781662736.0,1694972886.0,540011455.0,125984075.0,153299169511.0,3349774158.0,253650633212.0,250526701661.0,1010122634.0,-190685942.0,819436692.0,2026-06-30,TTM,IDR
VKTR,VKTR Teknologi Mobilitas Tbk,Bakrie,Consumer Cyclical,Ya,JUAL,30,"rugi,bunga<1.5,laba-30%",805,-2351.7,33.79,,19.2,-1.43,-170.9,38.3,0.0,0.16,35.2,91.15,78.1,0.83,48.4,822,806.0,17.39,1.81,-1.13,-0.85,2.75,2.05,1.66,1.47,750.74,-11.48,0.14,0.0,0.71,9,5,64,41,53,0.6,,1.0,0.0,-0.3423,23.8208,,43750000000.0,1321824000000.0,-14975000000.0,47085000000.0,33382000000.0,171281000000.0,38288000000.0,129715000000.0,1848799000000.0,1042160000000.0,171970000000.0,-121516000000.0,50454000000.0,2026-06-30,TTM-gabungan,IDR
MPRO,Maha Properti Indonesia Tbk.,,Real Estate,Tidak,TIPIS,32,"rugi,OCF-,FCF-,bunga<1.5",12025,-2076.3,151.59,,170.33,-7.0,34.8,328.4,0.0,0.32,119.6,0.0,0.0,0.62,50.3,12018,10560.0,31.18,-824.07,-1238.98,-3.44,,0.01,0.01,-1.93,,0.57,-0.03,0.0,,10,18,41,60,50,-37.4,,1.0,0.0,-5.7915,79.3278,,9942500000.0,4647535000.0,-57582141000.0,-37408907000.0,-37947129000.0,249801000000.0,5008099000.0,244792901000.0,1668369712000.0,788717116000.0,-33095577000.0,-83234000.0,-33142716000.0,2026-06-30,TTM-gabungan,IDR
BMHS,Bundamedik Tbk.,,Healthcare,Ya,TIPIS,33,"rugi,FCF-,bunga<1.5,laba-30%",200,-1581.0,0.89,,0.5,-0.06,-1634.3,4.7,0.52,0.77,1.7,1.16,0.2,0.63,62.8,191,189.0,46.42,5.85,-0.07,-0.03,6.02,1.71,1.65,1.2,14.98,-201.69,-4.18,63.11,1.33,49,7,44,26,50,-0.9,-47.0,2.0,0.0,-0.1265,225.7544,1.03,8603416176.0,1624085561243.0,-1088410417.0,192027916278.0,76249969743.0,1497645697167.0,230699944756.0,1156380415655.0,4127237041700.0,1942259408094.0,219522901685.0,-291500519950.0,-71977618265.0,2026-06-30,TTM,IDR
POLU,Golden Flower Tbk.,,Consumer Cyclical,Ya,TIPIS,25,"rugi,bunga<1.5",17025,-988.5,104.49,,59.37,-10.06,-29.7,-8.9,0.0,0.39,12.8,0.03,0.5,1.57,53.5,14572,16296.0,7.22,-8.14,-7.79,-5.69,,1.3,1.1,-5.01,,-2.44,0.22,0.0,0.11,10,3,52,30,56,7.3,,1.0,0.0,-17.2238,162.9384,,750000000.0,165834317422.0,-12917844747.0,-14988306836.0,-15123930149.0,47807338375.0,106746415244.0,-58939076869.0,261801097552.0,122203807529.0,31501051726.0,-3568887410.0,27934915877.0,2026-06-30,TTM-gabungan,IDR
VISI,Satu Visi Putra Tbk.,,Industrials,Ya,HOLD,23,"rugi,FCF-,bunga<1.5,laba-30%",1320,-971.2,22.66,,10.84,-2.29,-1547.0,-3.5,0.08,0.44,4.1,2.76,3.2,0.71,76.8,984,722.0,12.15,3.46,-1.28,-1.47,7.36,1.86,1.12,0.57,411.13,-6.23,-0.0,0.0,1.0,10,5,45,25,48,0.7,,1.0,0.0,-1.3591,58.2645,1.0,3075000000.0,325941482687.0,-4179269456.0,10052593301.0,4475507682.0,79676754094.0,5729943135.0,73946810959.0,278978689869.0,179163369548.0,26023030317.0,-26044048138.0,-21017821.0,2026-03-31,TTM,IDR
COIN,Indokripto Koin Semesta Tbk.,,Financial Services,Tidak,WSE,15,"rugi,laba-30%",875,-821.1,8.51,,9.56,-1.12,-182.5,-47.0,0.0,0.0,12.9,71.8,59.6,1.25,62.1,754,1564.0,66.35,-1.14,-6.36,-1.03,-3.64,20.86,20.86,33.04,160.26,2.19,-0.34,0.0,,9,2,,18,59,,,2.0,0.0,-1.0657,102.7622,,14705882400.0,246243359720.0,-15671573481.0,78509154789.0,12583810944.0,5073538068.0,290821556746.0,-285748018678.0,1530727893240.0,1511208104843.0,-34363392612.0,-8826515313.0,-43189907925.0,2026-06-30,TTM,IDR
SINI,Singaraja Putra Tbk.,,Basic Materials,Tidak,HOLD,31,"ekuitas-,rugi,FCF-,bunga<1.5",18300,-445.5,-17.17,,,3.93,124.8,179.0,0.0,-1.25,13.1,15.34,212.5,1.08,76.5,9883,11596.0,18.75,5.09,-4.13,-2.26,24.19,0.41,0.34,0.72,384.46,-0.19,-0.47,0.0,11.87,13,14,29,73,39,8.9,,0.0,0.0,-41.0803,-1066.0077,,713678861.0,709778208158.0,-29318133817.0,36251701617.0,35698192882.0,953567993741.0,74429360209.0,877071967730.0,1647768740947.0,-760787134214.0,5695891929.0,-67619364467.0,-61923472538.0,2026-03-31,TTM,IDR
