Ticker,Nama,Grup,Sektor,Syariah,Status,Skor,Flag,Harga,PER,PBV,PERvsSektor,PBVvsSektor,ROE%,LabaYoY%,OmzetYoY%,Dividen%,DER,MarketCap(T),Vol20(jt),Nilai(M),VolSpike,RSI14,MA50,MA200,MarginKotor%,MarginOperasi%,MarginBersih%,ROA%,UtangBersih/EBITDA,CurrentRatio,QuickRatio,InterestCoverage,EV/EBITDA,OCF/Laba,FCFYield%,Payout%,Capex/OCF,SkorValuasi,SkorProfitabilitas,SkorKesehatan,SkorPertumbuhan,SkorArusKas,OmzetCAGR3%,LabaCAGR3%,TahunLabaNaik,SahamYoY%,EPS,BVPS,DPS,Saham,Omzet,LabaBersih,EBITDA,EBIT,TotalUtang,Kas,UtangBersih,TotalAset,Ekuitas,OCF,Capex,FCF,Periode,Basis,MataUang
MDKA,Merdeka Copper Gold Tbk.,LQ45,Basic Materials,Ya,BUY,31,"rugi,FCF-",2940,-4647.5,4.74,,2.48,-0.1,1637.8,23.5,0.42,2.69,71.8,40.99,120.2,1.21,54.7,2769.0,2831.0,18.7,14.79,-0.04,-0.02,5.25,1.33,0.92,2.17,17.94,-420.36,-3.3,0.0,1.36,16,12,28,73,36,29.6,,0.0,0.02,-0.6326,619.804,12.29,24416902071.0,35758764168600.0,-15447111625.0,5657415714390.0,5584060103325.0,40766263684025.0,9677956583240.0,29698346036095.0,107066352699680.0,15133692772385.0,6493386676975.0,-8860863189310.0,-2367476512335.0,2026-03-31,TTM,USD
VKTR,VKTR Teknologi Mobilitas Tbk,Bakrie,Consumer Cyclical,Ya,BUY,30,"rugi,bunga<1.5,laba-30%",960,-2804.6,40.3,,18.83,-1.43,-170.9,38.3,0.0,0.16,42.0,94.1,83.1,1.27,61.8,726.0,768.0,17.39,1.81,-1.13,-0.85,2.75,2.05,1.66,1.47,894.76,-11.48,0.12,0.0,0.71,9,5,64,41,53,0.6,,1.0,0.0,-0.3423,23.8208,,43750000000.0,1321824000000.0,-14975000000.0,47085000000.0,33382000000.0,171281000000.0,38288000000.0,129715000000.0,1848799000000.0,1042160000000.0,171970000000.0,-121516000000.0,50454000000.0,2026-06-30,TTM-gabungan,IDR
JGLE,Graha Andrasentra Propertind,,Consumer Cyclical,Ya,BUY,30,"rugi,FCF-,bunga<1.5,laba-30%",92,-48.3,1.94,,0.91,-3.98,-247.2,-0.7,0.0,0.19,2.1,1613.59,141.6,1.39,60.2,67.0,56.0,64.15,-1.38,-27.53,-2.84,,0.83,0.19,-12.23,,-0.06,-0.01,0.0,1.06,39,6,40,29,47,-6.7,,2.0,0.0,-1.9048,47.4079,,22581909405.0,156219000000.0,-43014000000.0,-20727000000.0,-39763000000.0,205886000000.0,6988000000.0,198204000000.0,1500291000000.0,1070562000000.0,2605000000.0,-2761000000.0,-156000000.0,2026-06-30,TTM,IDR
OASA,Maharaksa Biru Energi Tbk.,,Utilities,Tidak,BUY,31,"rugi,bunga<1.5,laba-30%",334,-36.3,3.94,,0.95,-10.3,-193.5,-88.3,0.0,0.04,2.1,34.4,11.4,3.44,55.7,305.0,317.0,13.58,-324.31,-402.5,-8.76,,1.9,1.9,-30.71,,-0.87,2.36,0.0,0.01,37,3,64,12,57,-7.2,,1.0,0.0,-9.2032,84.7845,,6347220000.0,14512909427.0,-58414460849.0,-47100059516.0,-53628666624.0,23805531739.0,2520831457.0,19789261570.0,608807253764.0,538145819515.0,50569088334.0,-496899977.0,50072188357.0,2026-03-31,TTM,IDR
SRTG,Saratoga Investama Sedaya Tb,,Financial Services,Ya,BUY,89,,1855,1.3,0.39,0.1,0.44,32.28,376.0,609.9,5.57,0.01,25.1,7.34,13.5,2.05,54.4,1706.0,1600.0,99.35,98.85,90.45,29.59,0.02,29.78,29.78,149.59,1.25,0.09,6.37,1.07,0.01,97,98,,82,60,3.4,16.6,2.0,0.04,1381.2847,4739.8147,103.3,13549832900.0,20692605000000.0,18716177000000.0,20455765000000.0,20451022000000.0,795960000000.0,870895000000.0,484105000000.0,68674133000000.0,64223697000000.0,1604910000000.0,-10081000000.0,1601187000000.0,2026-03-31,TTM-gabungan,IDR
LSIP,PP London Sumatra Indonesia ,Salim,Consumer Defensive,Ya,BUY,88,,1485,4.9,0.71,0.48,0.35,15.14,26.7,5.7,5.59,0.0,10.1,7.67,11.1,1.68,64.1,1354.0,1273.0,37.37,34.8,35.11,13.51,-3.36,7.08,6.44,2214.41,0.7,1.28,21.56,27.39,0.17,97,88,100,68,87,6.3,22.1,2.0,0.0,302.6825,2100.1243,83.0,6819963965.0,5880175000000.0,2064284000000.0,2493427000000.0,2493427000000.0,329000000.0,8371777000000.0,-8371448000000.0,16294964000000.0,14322772000000.0,2632025000000.0,-448396000000.0,2183629000000.0,2026-06-30,TTM-gabungan,IDR
BBRI,Bank Rakyat Indonesia (Perse,LQ45,Financial Services,Tidak,BUY,65,,3250,8.4,1.45,0.62,1.63,17.86,2.7,15.2,12.86,0.61,489.4,184.71,577.9,1.92,64.9,2967.0,3243.0,,,30.53,2.76,,,,,,-0.15,-2.83,88.79,,66,71,,51,72,6.7,3.5,1.0,-0.05,388.6673,2246.0813,418.0,150574927704.0,191720211000000.0,58523545000000.0,,,206869633000000.0,181084610000000.0,25434090000000.0,2249833632000000.0,338203528000000.0,-8726810000000.0,-5106725000000.0,-13833535000000.0,2026-03-31,TTM-gabungan,IDR
SMSM,Selamat Sempurna Tbk,,Consumer Cyclical,Ya,BUY,84,,1715,8.6,2.46,0.56,1.15,29.52,14.2,13.0,9.33,0.04,9.9,3.2,5.5,1.2,50.4,1680.0,1702.0,37.5,28.31,21.08,21.02,-0.66,4.39,2.74,112.55,5.41,0.95,8.81,70.35,0.2,82,90,99,65,85,2.9,9.9,3.0,0.0,198.8166,696.1101,160.0,5758675440.0,5432118000000.0,1144920000000.0,1625365000000.0,1579998000000.0,162075000000.0,1239077000000.0,-1077002000000.0,5716543000000.0,4008672000000.0,1092567000000.0,-222239000000.0,870328000000.0,2026-06-30,TTM-gabungan,IDR
GGRM,Gudang Garam Tbk,LQ45,Consumer Defensive,Tidak,BUY,72,,20800,8.9,0.63,0.87,0.31,7.17,46466.0,-8.7,3.85,0.01,40.0,1.98,40.3,2.16,61.8,18071.0,15434.0,12.98,7.21,5.24,5.57,0.18,3.64,1.09,98.14,5.92,2.71,26.14,34.86,0.14,83,60,94,43,88,-10.5,-17.6,2.0,0.0,2347.547,33264.912,800.0,1924088000.0,86178654000000.0,4516887000000.0,6967555000000.0,6220225000000.0,761931000000.0,8719955000000.0,1235157000000.0,77787029000000.0,64004618000000.0,12227339000000.0,-1766701000000.0,10460638000000.0,2026-06-30,TTM-gabungan,IDR
MAPI,Mitra Adiperkasa Tbk,LQ45,Consumer Cyclical,Ya,BOW,74,,1400,9.3,1.52,0.61,0.71,17.99,24.4,23.8,0.71,0.58,23.2,14.81,24.5,1.47,38.3,1530.0,1342.0,38.08,9.3,4.88,7.45,0.01,1.64,0.79,8.04,2.96,2.63,19.22,13.42,0.32,81,72,78,62,82,16.0,1.8,1.0,0.37,149.7428,921.2323,10.0,16600000000.0,50897695000000.0,2485730000000.0,7898924000000.0,4469829000000.0,8922017000000.0,4421056000000.0,113672000000.0,35416597000000.0,15292457000000.0,6537628000000.0,-2070834000000.0,4466794000000.0,2026-06-30,TTM-gabungan,IDR
AKRA,AKR Corporindo Tbk,LQ45,Energy,Ya,BUY,77,,1455,10.6,2.22,0.5,1.02,21.7,37.0,74.6,6.87,0.42,28.8,12.52,17.7,2.06,62.7,1337.0,1262.0,7.99,5.93,4.91,7.57,0.24,1.33,1.04,51.78,8.04,2.85,23.45,72.6,0.13,80,73,86,65,87,-1.1,1.0,2.0,0.24,137.544,654.4711,100.0,19799769600.0,55443442886000.0,2723338865000.0,3691958523000.0,3640446573000.0,5454476951000.0,8866238987000.0,875908678000.0,39295481702000.0,12958376732000.0,7757177689000.0,-1002622794000.0,6754554895000.0,2026-06-30,TTM-gabungan,IDR
