Ticker,Nama,Skor,StatusScreener,Harga,TrenD1,ZonaD1,PosisiD1%,EventD1,TrenSesi,TrenH1,TipeEntri,EntriAtas,EntriBawah,Stop,Target,RR,JarakEntri%,ATR_D1%,SweepTerakhir,Sinyal,Catatan
SMSM,Selamat Sempurna Tbk,82,BUY,1720,up,PREMIUM,64,BOS bull,up,up,OB SESI,1680,1670,1655,1775,5.0,2.3,1.1,BSL raid @ 1730,TUNGGU,harga di premium — tunggu pullback ke zona
SSIA,Surya Semesta Internusa Tbk,51,BUY,1810,up,PREMIUM,81,BOS bull,up,down,OB SESI,1700,1645,1595,1980,3.97,6.1,4.2,BSL raid @ 1920,TUNGGU,harga di premium — tunggu pullback ke zona
VKTR,VKTR Teknologi Mobilitas Tbk,30,BUY,865,up,EQUILIBRIUM,47,BOS bull,up,down,,,,,,,,7.4,BSL raid @ 960,TUNGGU,tidak ada OB fresh / FVG terbuka dalam jangkauan pullback
TKIM,Pabrik Kertas Tjiwi Kimia Tb,63,BUY,8150,up,EQUILIBRIUM,55,BOS bull,up,up,OB SESI,8075,7900,7625,,,0.9,3.7,BSL raid @ 8325,TUNGGU,tidak ada likuiditas di atas harga dalam jangkauan target
INKP,Indah Kiat Pulp & Paper Tbk.,66,BUY,8800,up,EQUILIBRIUM,41,BOS bull,up,up,,,,,,,,2.6,BSL raid @ 8850,TUNGGU,tidak ada OB fresh / FVG terbuka dalam jangkauan pullback
BULL,Buana Lintas Lautan Tbk.,67,BUY,436,up,EQUILIBRIUM,52,BOS bull,down,down,,,,,,,,5.9,BSL raid @ 474,TUNGGU,tidak ada OB fresh / FVG terbuka dalam jangkauan pullback
HATM,Habco Trans Maritima Tbk.,46,BUY,615,up,PREMIUM,83,BOS bull,up,up,,,,,,,,8.7,BSL raid @ 595,TUNGGU,tidak ada OB fresh / FVG terbuka dalam jangkauan pullback
MMIX,Multi Medika Internasional T,53,BUY,800,up,PREMIUM,83,CHoCH bull,up,up,,,,,,,,3.1,SSL raid @ 630,TUNGGU,tidak ada OB fresh / FVG terbuka dalam jangkauan pullback
AKRA,AKR Corporindo Tbk,78,BOW,1385,down,PREMIUM,71,CHoCH bear,down,up,OB D1,1285,1270,1235,1500,5.24,6.9,2.7,SSL raid @ 1385,HINDARI,struktur D1 masih bearish
MDIA,Intermedia Capital Tbk.,35,BOW,216,down,PREMIUM,70,CHoCH bear,down,down,FVG D1,199,193,65,,,7.9,7.9,BSL raid @ 296,HINDARI,struktur D1 masih bearish
