Tanggal,Ticker,Nama,Status,Skor,TanggalBeli,HargaBeli,Lot,Lembar,Modal,TanggalAkhir,HargaAkhir,HariKe,Selesai,Nilai,LabaRp,Laba%,Puncak%,Jatuh%,Hari0%,Hari1%,Hari2%,Hari3%,Hari4%,Hari5%,Hari6%,Hari7%,Hari8%,Hari9%,Hari10%,Hari11%,Hari12%,Hari13%,Hari14%,Hari15%,Hari16%,Hari17%,Hari18%,Hari19%,Hari20%,Hari21%
2026-08-11,ACES,Aspirasi Hidup Indonesia Tbk,BUY,80,2026-08-12,360.0,277,27700,9986958,2026-09-09,354.0,18,Tidak,9781286,-205672,-2.06,0.15,-3.17,-0.4,-2.06,-2.06,-2.06,0.15,0.15,-0.4,0.15,-2.06,-0.95,-0.4,-1.51,-2.06,-3.17,-1.51,-0.95,-0.95,-1.51,-2.06,,,
2026-08-11,BDMN,Bank Danamon Indonesia Tbk.,BUY,67,2026-08-12,4200.0,23,2300,9674490,2026-09-09,4540.0,19,Tidak,10415895,741405,7.66,7.66,-1.59,1.97,-1.35,-1.59,1.97,1.97,1.97,1.97,1.26,1.26,-0.4,2.21,1.5,1.97,3.63,2.68,6.0,5.77,4.34,4.58,7.66,,
2026-08-11,HMSP,H.M. Sampoerna Tbk.,BUY,71,2026-08-12,740.0,135,13500,10004985,2026-09-09,745.0,19,Tidak,10032356,27371,0.27,2.97,-1.75,-1.75,-1.75,1.62,0.27,0.27,0.95,0.27,0.27,0.27,-1.07,0.27,-1.07,-0.4,-1.07,-1.75,0.27,-0.4,0.95,2.97,0.27,,
2026-08-11,ISAT,Indosat Tbk,BUY,75,2026-08-12,2200.0,45,4500,9914850,2026-09-09,2400.0,19,Tidak,10773000,858150,8.66,24.05,6.39,11.37,11.82,14.99,17.71,24.05,23.6,23.14,19.07,19.07,12.28,18.16,14.54,13.18,8.2,6.84,9.56,8.2,6.39,6.84,8.66,,
2026-08-11,ITMG,Indo Tambangraya Megah Tbk,BUY,73,2026-08-12,24675.0,4,400,9884805,2026-09-09,26550.0,19,Tidak,10593450,708645,7.17,7.98,-1.41,-0.1,-1.41,0.91,-0.1,0.91,2.53,1.72,2.53,2.53,1.32,3.13,3.54,5.15,4.95,5.35,5.55,5.35,7.07,7.98,7.17,,
2026-08-11,MMIX,Multi Medika Internasional T,BUY,53,2026-08-12,740.0,135,13500,10004985,2026-09-09,835.0,18,Tidak,11244319,1239334,12.39,12.39,0.27,0.27,0.95,2.29,2.97,3.64,4.31,4.31,4.98,4.31,5.66,7.68,4.98,4.98,5.66,6.33,7.68,8.35,9.02,12.39,,,
2026-08-11,MSJA,Multi Spunindo Jaya Tbk.,BUY,58,2026-08-12,420.0,238,23800,10010994,2026-09-09,730.0,18,Tidak,17330565,7319571,73.12,73.12,-0.87,1.02,-0.87,1.02,3.87,4.34,6.71,3.87,2.92,1.97,2.45,4.82,4.82,5.29,6.71,4.34,6.71,24.5,47.03,73.12,,,
2026-08-11,PGEO,Pertamina Geothermal Energy ,BUY,76,2026-08-12,1055.0,94,9400,9931876,2026-09-09,1035.0,18,Tidak,9704678,-227198,-2.29,3.85,-5.12,1.02,-0.4,3.38,3.85,-0.87,1.02,0.54,0.54,-5.12,-2.76,-2.76,-2.29,-1.82,-2.29,-1.82,-2.29,-3.23,-2.76,-2.29,,,
2026-08-11,SMIL,Sarana Mitra Luas Tbk.,BUY,53,2026-08-12,370.0,270,27000,10004985,2026-09-09,460.0,18,Tidak,12388950,2383965,23.83,23.83,-0.4,1.75,1.75,2.29,-0.4,0.68,4.98,7.68,4.98,9.29,9.29,10.91,10.91,10.91,11.98,11.98,15.21,15.75,21.67,23.83,,,
2026-08-11,TAPG,Triputra Agro Persada Tbk.,BUY,82,2026-08-12,1735.0,57,5700,9904334,2026-09-09,2450.0,18,Tidak,13930088,4025753,40.65,40.65,2.18,3.62,2.18,2.76,5.05,5.05,9.93,12.52,11.37,11.94,17.68,16.54,19.98,33.76,34.91,34.91,28.02,29.74,35.48,40.65,,,
