TanggalBeli,IHSGdiAtasMA50,AcakJumlah,IHSG0%,IHSG1%,IHSG2%,IHSG3%,IHSG4%,IHSG5%,IHSG6%,IHSG7%,IHSG8%,IHSG9%,IHSG10%,IHSG11%,IHSG12%,IHSG13%,IHSG14%,IHSG15%,IHSG16%,IHSG17%,IHSG18%,IHSG19%,IHSG20%,IHSG21%,Acak0%,Acak1%,Acak2%,Acak3%,Acak4%,Acak5%,Acak6%,Acak7%,Acak8%,Acak9%,Acak10%,Acak11%,Acak12%,Acak13%,Acak14%,Acak15%,Acak16%,Acak17%,Acak18%,Acak19%,Acak20%,Acak21%
2026-08-12,Ya,167,1.13,-0.02,1.57,2.33,1.45,3.15,3.53,3.15,1.63,3.47,3.41,3.53,4.71,4.65,5.79,5.29,5.03,6.08,5.95,4.54,3.78,3.68,1.56,-0.42,0.73,2.1,1.87,4.36,4.55,4.14,1.07,4.51,4.53,5.58,7.19,7.1,8.51,7.98,8.08,9.24,9.5,7.86,6.68,5.68
2026-08-13,Ya,167,-1.75,-0.19,0.56,-0.31,1.37,1.74,1.37,-0.13,1.68,1.63,1.74,2.9,2.84,3.96,3.47,3.21,4.25,4.12,2.74,1.99,1.88,0.74,-2.51,-1.41,-0.09,-0.33,2.1,2.26,1.88,-1.11,2.23,2.26,3.27,4.85,4.76,6.17,5.66,5.75,6.89,7.13,5.52,4.36,3.41,2.62
2026-08-14,Ya,170,1.27,2.02,1.14,2.84,3.22,2.84,1.33,3.16,3.1,3.22,4.4,4.33,5.47,4.98,4.71,5.77,5.64,4.23,3.47,3.37,2.2,1.82,0.54,1.94,1.62,4.13,4.3,3.89,0.86,4.3,4.28,5.34,6.85,6.71,8.14,7.67,7.83,9.07,9.29,7.65,6.49,5.46,4.7,3.82
2026-08-18,Ya,171,-0.38,-1.24,0.42,0.79,0.42,-1.07,0.73,0.67,0.78,1.93,1.87,2.98,2.5,2.24,3.27,3.14,1.77,1.03,0.93,-0.21,-0.58,-0.19,0.4,-0.02,2.58,2.79,2.46,-0.45,2.91,2.86,3.88,5.31,5.25,6.65,6.16,6.34,7.58,7.81,6.29,5.15,4.18,3.47,2.59,3.95
2026-08-19,Ya,173,-0.62,1.05,1.43,1.05,-0.44,1.37,1.31,1.42,2.58,2.52,3.64,3.15,2.89,3.93,3.8,2.42,1.67,1.57,0.42,0.05,0.44,0.11,-0.71,1.87,2.0,1.6,-1.27,2.0,1.93,2.86,4.29,4.23,5.61,4.99,5.13,6.4,6.59,5.06,3.87,2.89,2.17,1.32,2.73,1.44
2026-08-20,Ya,173,0.44,0.81,0.44,-1.04,0.75,0.7,0.81,1.96,1.9,3.01,2.52,2.26,3.3,3.17,1.8,1.05,0.95,-0.18,-0.56,-0.16,-0.49,-1.37,1.25,1.39,1.0,-1.71,1.49,1.41,2.36,3.8,3.75,5.12,4.46,4.66,5.82,6.01,4.51,3.3,2.33,1.6,0.76,2.17,0.98,0.02
2026-08-21,Ya,172,-0.37,-0.74,-2.21,-0.43,-0.49,-0.38,0.76,0.7,1.8,1.32,1.06,2.08,1.95,0.6,-0.14,-0.24,-1.36,-1.73,-1.34,-1.67,-2.53,-2.68,-0.88,-1.27,-3.87,-0.79,-0.87,0.03,1.47,1.39,2.75,2.12,2.32,3.43,3.64,2.17,0.99,0.05,-0.7,-1.53,-0.21,-1.35,-2.25,-2.09
2026-08-24,Ya,173,-1.04,-2.5,-0.74,-0.79,-0.68,0.45,0.39,1.49,1.01,0.75,1.77,1.64,0.29,-0.44,-0.54,-1.66,-2.03,-1.64,-1.96,-2.82,-2.97,-4.13,-1.1,-3.77,-0.66,-0.74,0.32,1.73,1.75,3.12,2.47,2.74,3.83,4.05,2.63,1.45,0.36,-0.37,-1.21,0.16,-1.06,-1.93,-1.69,-3.6
2026-08-26,Ya,172,-1.95,-0.18,-0.23,-0.12,1.02,0.96,2.06,1.58,1.32,2.35,2.22,0.86,0.12,0.02,-1.1,-1.48,-1.08,-1.41,-2.27,-2.42,-3.59,,-3.1,0.08,-0.02,1.05,2.5,2.55,3.9,3.23,3.51,4.64,4.9,3.46,2.27,1.23,0.43,-0.4,0.99,-0.24,-1.13,-0.93,-2.88,
2026-08-27,Ya,172,1.65,1.59,1.71,2.87,2.8,3.93,3.44,3.17,4.22,4.09,2.7,1.95,1.85,0.7,0.33,0.72,0.39,-0.49,-0.64,-1.83,,,3.4,3.3,4.39,5.93,5.99,7.37,6.67,6.92,8.09,8.37,6.83,5.61,4.54,3.71,2.84,4.27,2.99,2.13,2.36,0.27,,
