Hari,Posisi,Menang,Winrate%,RataLaba%,MedianLaba%,TotalLabaRp,Terbaik%,Terburuk%,RataIHSG%,RataAcak%,Selisih%,MenangVsAcak%
0,63,22,34.9,0.16,-0.74,1036778,19.3,-11.83,-0.14,0.04,0.12,36.5
1,62,25,40.3,-0.01,-0.57,-28931,14.92,-6.34,-0.2,-0.06,0.05,41.9
2,59,24,40.7,-0.25,-0.4,-1417774,18.21,-11.18,0.1,0.27,-0.52,40.7
3,58,26,44.8,-0.13,-0.4,-754623,17.71,-10.2,0.4,0.77,-0.9,39.7
4,54,28,51.9,0.42,0.1,2227626,24.05,-15.91,0.52,1.1,-0.69,42.6
5,54,31,57.4,0.96,0.71,5161086,23.6,-11.83,0.85,1.63,-0.67,46.3
6,52,29,55.8,1.04,1.1,5358197,23.14,-18.36,0.89,1.72,-0.68,40.4
7,49,33,67.3,1.88,1.08,9162049,19.07,-13.83,1.03,1.95,-0.07,44.9
8,46,25,54.3,1.94,0.8,8866350,14.95,-17.19,1.2,1.81,0.13,50.0
9,36,24,66.7,3.58,2.71,12784711,18.16,-11.48,2.7,4.18,-0.6,33.3
10,36,25,69.4,3.75,3.34,13431188,16.66,-15.82,2.73,4.29,-0.54,38.9
11,36,26,72.2,3.78,3.17,13529969,19.98,-20.64,2.88,4.72,-0.94,41.7
12,36,24,66.7,3.8,3.77,13635365,33.76,-28.67,3.15,5.09,-1.29,36.1
13,32,20,62.5,4.82,3.52,15153055,34.91,-9.02,3.2,5.15,-0.33,34.4
14,32,21,65.6,4.54,3.81,14263411,34.91,-9.57,3.43,5.44,-0.9,31.2
15,30,20,66.7,4.77,3.62,13988255,31.57,-8.91,3.25,5.23,-0.47,33.3
16,26,17,65.4,4.82,2.42,12250942,29.74,-10.91,3.3,5.55,-0.74,26.9
17,23,16,69.6,6.68,2.62,15105157,47.03,-12.02,3.76,5.95,0.74,30.4
18,18,11,61.1,10.83,4.07,19226744,73.12,-15.34,4.1,6.59,4.24,38.9
19,13,8,61.5,13.97,5.05,18118288,111.06,-4.18,4.16,6.27,7.69,38.5
20,11,7,63.6,15.22,5.77,16698648,95.64,-3.33,3.61,5.4,9.82,54.5
21,10,7,70.0,15.59,6.88,15546495,86.16,-3.09,3.68,4.67,10.92,70.0
